No.,fname,lname,Country,Pos,Age,Ht,Wt,Shoots,Exp,Birth Date
8,Justin,Abdelkader,US,LW,20,74,213,L,0,1987-02-25
24,Chris,Chelios,US,D,46,72,191,R,23,1962-01-25
11,Dan,Cleary,CA,RW,29,73,205,L,9,1978-12-18
13,Pavel,Datsyuk,SU,C,29,71,194,L,5,1978-07-20
20,Aaron,Downey,CA,RW,33,73,215,R,7,1974-08-27
17,Dallas,Drake,CA,RW,38,73,186,L,14,1969-02-04
33,Kris,Draper,CA,C,36,70,188,L,16,1971-05-24
8,Matt,Ellis,CA,LW,26,72,208,L,1,1981-08-31
52,Jonathan,Ericsson,SE,D,23,76,218,L,0,1984-03-02
51,Valtteri,Filppula,FI,C,23,72,189,L,2,1984-03-20
93,Johan,Franzen,SE,C,28,76,232,L,2,1979-12-23
44,Mark,Hartigan,CA,C,30,72,196,L,5,1977-10-15
39,Dominik,Hasek,CS,G,43,73,166,L,15,1965-01-29
43,Darren,Helm,CA,C,21,72,192,L,0,1987-01-21
96,Tomas,Holmstrom,SE,RW,35,72,198,L,10,1973-01-23
35,Jimmy,Howard,US,G,23,73,218,L,1,1984-03-26
26,Jiri,Hudler,CS,RW,24,70,190,L,3,1984-01-04
82,Tomas,Kopecky,CS,RW,25,75,210,L,2,1982-02-05
55,Niklas,Kronwall,SE,D,27,72,194,L,3,1981-01-12
22,Brett,Lebda,US,D,26,69,195,L,2,1982-01-15
5,Nicklas ,Lindstrom ©,SE,D,37,73,192,L,15,1970-04-28
3,Andreas,Lilja,SE,D,32,75,220,L,6,1975-07-13
18,Kirk,Maltby,CA,LW,35,72,195,R,13,1972-12-22
25,Darren,McCarty,CA,RW,35,73,210,R,13,1972-04-01
14,Derek,Meech,CA,D,23,71,200,L,1,1984-04-21
30,Chris,Osgood,CA,G,35,70,180,L,13,1972-11-26
4,Kyle,Quincey,CA,D,22,74,210,L,2,1985-08-12
28,Brian,Rafalski,US,D,34,70,194,R,7,1973-09-28
42,Mattias,Ritola,SE,C,20,72,192,L,0,1987-03-14
37,Mikael,Samuelsson,SE,RW,31,74,218,R,6,1976-12-23
36,Garrett,Stafford,US,D,28,73,207,R,0,1980-01-28
23,Brad,Stuart,CA,D,28,74,215,L,7,1979-11-06
40,Henrik,Zetterberg,SE,LW,27,72,197,L,4,1980-10-09
