people id,GP,G,A,PTS,plus_minus,PIM,EV,PP,SH,GW,S%,TOI,BLK,HIT,temp
,82,31,66,97,41,20,20,10,1,6,11.7,1753,42,40,Datsyuk
,75,43,49,92,30,34,26,16,1,7,12,1655,16,31,Zetterberg
,76,10,60,70,40,40,5,5,0,4,5.3,2031,70,23,Lidstrom
,73,13,42,55,27,34,3,10,0,1,7.4,1757,70,38,Rafalski
,63,20,22,42,21,33,15,5,0,3,11.3,1095,14,82,Cleary
,81,13,29,42,11,26,10,3,0,2,9.9,1067,8,25,Hudler
,59,20,20,40,9,58,9,11,0,5,14.6,1035,7,58,Holmstrom
,73,11,29,40,21,26,8,3,0,1,4.4,1187,21,74,Samuelsson
,72,27,11,38,12,51,13,14,0,8,13.6,1276,24,89,Franzen
,78,19,17,36,16,28,16,3,0,3,15.6,1323,26,35,Filppula
,65,7,28,35,25,44,7,0,0,0,6.5,1372,79,93,Kronwall
,65,9,8,17,-2,68,7,0,2,2,9.3,1016,25,90,Draper
,78,3,11,14,-1,48,3,0,0,1,2.7,1285,38,46,Lebda
,77,5,7,12,2,43,5,0,0,1,5.7,740,17,111,Kopecky
,69,3,9,12,11,36,3,0,0,1,5,1170,46,56,Chelios
,79,2,10,12,-2,93,2,0,0,2,2.8,1440,114,133,Lilja
,61,6,4,10,-8,32,6,0,0,1,8.6,736,17,92,Maltby
,65,3,3,6,-12,41,2,0,1,0,6.5,696,25,92,Drake
,35,2,4,6,1,12,2,0,0,1,7.1,188,2,15,Ellis
,23,3,1,4,-2,16,3,0,0,0,15.8,165,0,25,Hartigan
,56,0,3,3,0,116,0,0,0,0,0,257,6,79,Downey
,32,0,3,3,-5,6,0,0,0,0,0,388,18,22,Meech
,43,0,3,3,0,0,0,0,0,0,,2409,0,0,Osgood
,9,1,1,2,6,2,1,0,0,0,4.8,187,13,30,Stuart
,8,1,0,1,-3,4,0,1,0,0,5.3,128,3,9,Ericsson
,41,0,1,1,0,12,0,0,0,0,,2350,0,0,Hasek
,3,0,1,1,2,2,0,0,0,0,0,23,1,4,McCarty
,2,0,1,1,0,0,0,0,0,0,0,12,0,0,Ritola
,2,0,0,0,0,2,0,0,0,0,0,24,0,5,Abdelkader
,7,0,0,0,-2,2,0,0,0,0,0,49,0,3,Helm
,4,0,0,0,0,0,0,0,0,0,,197,0,0,Howard
,6,0,0,0,-3,4,0,0,0,0,0,84,7,12,Quincey
,2,0,0,0,0,0,0,0,0,0,0,14,0,1,Stafford
